BinNumber,BinRange,Count,States Included
1,"563,626 – 4,232,658",24,"WY,VT,ND,AK,SD,DE,MT,RI,NH,ME,HI,ID,NE,WV,NM,NV,UT,KS,AR,MS,IA,CT,OK,OR"
2,"4,232,659 – 7,901,691",14,"KY,LA,SC,AL,CO,MN,WI,MD,MO,TN,AZ,IN,MA,WA"
3,"7,901,692 – 11,570,724",6,"VA,NJ,NC,GA,MI,OH"
4,"11,570,725 – 15,239,757",2,"PA,IL"
5,"15,239,758 – 18,908,790",1,"FL"
6,"18,908,791 – 22,577,823",1,"NY"
7,"22,577,824 – 26,246,856",1,"TX"
8,"26,246,857 – 29,915,889",0,""
9,"29,915,890 – 33,584,922",0,""
10,"33,584,923 – 37,253,956",1,"CA"
